frame,total,backpack,car,person
106,19,0,0,0
107,19,0,0,0
108,19,0,0,0
109,19,0,0,0
110,19,0,0,0
111,19,0,0,0
112,19,0,0,0
113,19,0,0,0
114,19,0,0,0
115,19,0,0,0
116,19,0,0,0
117,19,0,0,0
118,20,0,0,1
119,21,0,0,1
120,21,0,0,0
121,21,0,0,0
122,21,0,0,0
123,21,0,0,0
124,21,0,0,0
125,21,0,0,0
126,21,0,0,0
127,21,0,0,0
128,21,0,0,0
129,21,0,0,0
130,21,0,0,0
131,21,0,0,0
132,22,0,0,1
133,22,0,0,0
134,22,0,0,0
135,22,0,0,0
136,24,0,0,2
137,25,0,0,1
138,27,0,0,1
139,27,0,0,0
140,27,0,0,0
141,28,0,0,0
142,30,0,0,2
143,30,0,0,0
144,30,0,0,0
145,30,0,0,0
146,30,0,0,0
147,30,0,0,0
148,30,0,0,0
149,30,0,0,0
150,30,0,0,0
151,31,0,0,1
152,32,0,0,1
153,32,0,0,0
154,33,0,1,0
155,34,0,0,1
156,37,0,0,1
157,37,0,0,0
158,37,0,0,0
159,38,0,0,1
160,38,0,0,0
161,38,0,0,0
162,38,0,0,0
163,38,0,0,0
164,39,0,0,1
165,39,0,0,0
166,39,0,0,0
167,39,0,0,0
168,39,0,0,0
169,39,0,0,0
170,39,0,0,0
171,39,0,0,0
172,39,0,0,0
173,40,0,0,1
174,42,0,0,2
175,43,0,0,1
176,43,0,0,0
177,44,0,0,1
178,45,0,0,1
179,46,0,0,1
180,47,0,0,1
181,48,0,0,1
182,48,0,0,0
183,48,0,0,0
184,48,0,0,0
185,48,0,0,0
186,49,0,1,0
187,50,0,0,0
188,50,0,0,0
189,50,0,0,0
190,51,0,0,0
191,51,0,0,0
192,51,0,0,0
193,51,0,0,0
194,51,0,0,0
195,51,0,0,0
196,51,0,0,0
197,51,0,0,0
198,51,0,0,0
199,51,0,0,0
200,51,0,0,0
201,51,0,0,0
202,51,0,0,0
203,51,0,0,0
204,51,0,0,0
205,51,0,0,0
206,51,0,0,0
207,51,0,0,0
208,51,0,0,0
209,51,0,0,0
210,51,0,0,0
211,51,0,0,0
212,51,0,0,0
213,51,0,0,0
214,51,0,0,0
215,51,0,0,0
216,51,0,0,0
217,51,0,0,0
218,51,0,0,0
219,51,0,0,0
220,51,0,0,0
221,51,0,0,0
222,51,0,0,0
223,51,0,0,0
224,51,0,0,0
225,51,0,0,0
226,51,0,0,0
227,51,0,0,0
228,51,0,0,0
229,51,0,0,0
230,51,0,0,0
231,51,0,0,0
232,51,0,0,0
233,51,0,0,0
234,51,0,0,0
235,51,0,0,0
236,51,0,0,0
237,51,0,0,0
238,51,0,0,0
239,51,0,0,0
240,51,0,0,0
241,51,0,0,0
242,51,0,0,0
243,51,0,0,0
244,51,0,0,0
245,51,0,0,0
246,51,0,0,0
247,51,0,0,0
248,51,0,0,0
249,51,0,0,0
250,51,0,0,0
251,51,0,0,0
252,51,0,0,0
253,51,0,0,0
254,51,0,0,0
255,52,0,0,0
256,52,0,0,0
257,52,0,0,0
258,52,0,0,0
259,52,0,0,0
260,52,0,0,0
261,52,0,0,0
262,52,0,0,0
263,52,0,0,0
264,52,0,0,0
265,52,0,0,0
266,52,0,0,0
267,52,0,0,0
268,52,0,0,0
269,52,0,0,0
270,52,0,0,0
271,52,0,0,0
272,52,0,0,0
273,52,0,0,0
274,52,0,0,0
275,52,0,0,0
276,52,0,0,0
277,52,0,0,0
278,52,0,0,0
279,52,0,0,0
280,52,0,0,0
281,52,0,0,0
282,52,0,0,0
283,52,0,0,0
284,52,0,0,0
285,52,0,0,0
286,52,0,0,0
287,52,0,0,0
288,52,0,0,0
289,52,0,0,0
290,52,0,0,0
291,52,0,0,0
292,52,0,0,0
293,52,0,0,0
294,52,0,0,0
295,52,0,0,0
296,52,0,0,0
297,52,0,0,0
298,52,0,0,0
299,52,0,0,0
300,52,0,0,0
301,52,0,0,0
302,52,0,0,0
303,52,0,0,0
304,52,0,0,0
305,52,0,0,0
306,52,0,0,0
307,52,0,0,0
308,52,0,0,0
309,52,0,0,0
310,52,0,0,0
311,52,0,0,0
312,52,0,0,0
313,52,0,0,0
314,52,0,0,0
315,52,0,0,0
316,52,0,0,0
317,52,0,0,0
318,52,0,0,0
319,52,0,0,0
320,52,0,0,0
321,52,0,0,0
322,52,0,0,0
323,52,0,0,0
324,52,0,0,0
325,52,0,0,0
326,52,0,0,0
327,52,0,0,0
328,52,0,0,0
329,52,0,0,0
330,52,0,0,0
331,52,0,0,0
332,52,0,0,0
333,52,0,0,0
334,52,0,0,0
335,52,0,0,0
336,52,0,0,0
337,52,0,0,0
338,52,0,0,0
339,52,0,0,0
340,52,0,0,0
341,52,0,0,0
342,52,0,0,0
343,52,0,0,0
344,52,0,0,0
345,52,0,0,0
346,52,0,0,0
347,52,0,0,0
348,52,0,0,0
349,52,0,0,0
350,52,0,0,0
351,52,0,0,0
352,52,0,0,0
353,52,0,0,0
354,52,0,0,0
355,52,0,0,0
356,52,0,0,0
357,52,0,0,0
358,52,0,0,0
359,52,0,0,0
360,52,0,0,0
361,52,0,0,0
362,52,0,0,0
363,52,0,0,0
364,52,0,0,0
365,52,0,0,0
366,52,0,0,0
367,52,0,0,0
368,52,0,0,0
369,52,0,0,0
370,52,0,0,0
371,52,0,0,0
372,52,0,0,0
373,52,0,0,0
374,52,0,0,0
375,52,0,0,0
376,52,0,0,0
377,52,0,0,0
378,52,0,0,0
379,52,0,0,0
380,52,0,0,0
381,52,0,0,0
382,52,0,0,0
383,52,0,0,0
384,52,0,0,0
385,52,0,0,0
386,52,0,0,0
387,52,0,0,0
388,52,0,0,0
389,52,0,0,0
390,52,0,0,0
391,52,0,0,0
392,52,0,0,0
393,52,0,0,0
394,52,0,0,0
395,52,0,0,0
396,52,0,0,0
397,52,0,0,0
398,52,0,0,0
399,52,0,0,0
400,52,0,0,0
401,52,0,0,0
402,52,0,0,0
403,52,0,0,0
404,52,0,0,0
405,52,0,0,0
406,52,0,0,0
407,52,0,0,0
408,52,0,0,0
409,52,0,0,0
410,52,0,0,0
411,52,0,0,0
412,52,0,0,0
413,52,0,0,0
414,52,0,0,0
415,52,0,0,0
416,52,0,0,0
417,52,0,0,0
418,52,0,0,0
419,52,0,0,0
420,52,0,0,0
421,52,0,0,0
422,52,0,0,0
423,52,0,0,0
424,52,0,0,0
425,52,0,0,0
426,52,0,0,0
427,52,0,0,0
428,52,0,0,0
429,52,0,0,0
430,52,0,0,0
431,52,0,0,0
432,52,0,0,0
433,52,0,0,0
434,52,0,0,0
435,52,0,0,0
436,52,0,0,0
437,52,0,0,0
438,52,0,0,0
439,52,0,0,0
440,52,0,0,0
441,52,0,0,0
442,52,0,0,0
443,52,0,0,0
444,52,0,0,0
445,52,0,0,0
446,52,0,0,0
447,52,0,0,0
448,52,0,0,0
449,52,0,0,0
450,52,0,0,0
451,52,0,0,0
452,52,0,0,0
453,52,0,0,0
454,52,0,0,0
455,52,0,0,0
456,52,0,0,0
457,52,0,0,0
458,52,0,0,0
459,52,0,0,0
460,52,0,0,0
461,52,0,0,0
462,52,0,0,0
463,52,0,0,0
464,52,0,0,0
465,53,0,0,0
466,53,0,0,0
467,53,0,0,0
468,53,0,0,0
469,53,0,0,0
470,53,0,0,0
471,53,0,0,0
472,53,0,0,0
473,53,0,0,0
474,53,0,0,0
475,53,0,0,0
476,53,0,0,0
477,53,0,0,0
478,53,0,0,0
479,53,0,0,0
480,53,0,0,0
481,53,0,0,0
482,53,0,0,0
483,53,0,0,0
484,53,0,0,0
485,53,0,0,0
486,53,0,0,0
487,53,0,0,0
488,53,0,0,0
489,53,0,0,0
490,53,0,0,0
491,53,0,0,0
492,53,0,0,0
493,53,0,0,0
494,53,0,0,0
495,53,0,0,0
496,53,0,0,0
497,53,0,0,0
498,53,0,0,0
499,53,0,0,0
500,53,0,0,0
501,53,0,0,0
502,53,0,0,0
503,53,0,0,0
504,53,0,0,0
505,53,0,0,0
506,53,0,0,0
507,53,0,0,0
508,53,0,0,0
509,53,0,0,0
510,53,0,0,0
511,53,0,0,0
512,53,0,0,0
513,53,0,0,0
514,53,0,0,0
515,53,0,0,0
516,53,0,0,0
517,53,0,0,0
518,53,0,0,0
519,53,0,0,0
520,53,0,0,0
521,53,0,0,0
522,53,0,0,0
523,53,0,0,0
524,53,0,0,0
525,53,0,0,0
526,53,0,0,0
527,53,0,0,0
528,53,0,0,0
529,53,0,0,0
530,53,0,0,0
531,53,0,0,0
532,53,0,0,0
533,53,0,0,0
534,53,0,0,0
535,53,0,0,0
536,53,0,0,0
537,53,0,0,0
538,53,0,0,0
539,53,0,0,0
540,53,0,0,0
541,53,0,0,0
542,53,0,0,0
543,53,0,0,0
544,53,0,0,0
545,53,0,0,0
546,53,0,0,0
547,53,0,0,0
548,53,0,0,0
549,53,0,0,0
550,53,0,0,0
551,53,0,0,0
552,53,0,0,0
553,53,0,0,0
554,53,0,0,0
555,53,0,0,0
556,53,0,0,0
557,53,0,0,0
558,53,0,0,0
559,53,0,0,0
560,53,0,0,0
561,53,0,0,0
562,53,0,0,0
563,54,0,1,0
564,54,0,0,0
565,54,0,0,0
566,54,0,0,0
567,54,0,0,0
568,54,0,0,0
569,54,0,0,0
570,54,0,0,0
571,54,0,0,0
572,54,0,0,0
573,54,0,0,0
574,54,0,0,0
575,54,0,0,0
576,54,0,0,0
577,54,0,0,0
578,54,0,0,0
579,54,0,0,0
580,54,0,0,0
581,54,0,0,0
582,54,0,0,0
583,54,0,0,0
584,54,0,0,0
585,54,0,0,0
586,54,0,0,0
587,54,0,0,0
588,54,0,0,0
589,54,0,0,0
590,54,0,0,0
591,54,0,0,0
592,55,0,0,0
593,57,0,1,0
594,58,0,1,0
595,59,0,0,0
596,61,0,1,0
597,63,0,1,0
598,65,0,1,0
599,67,0,0,0
600,68,0,1,0
601,68,0,0,0
602,69,0,0,0
603,69,0,0,0
604,69,0,0,0
605,69,0,0,0
606,69,0,0,0
607,69,0,0,0
608,69,0,0,0
609,69,0,0,0
610,69,0,0,0
611,69,0,0,0
612,70,0,0,0
613,70,0,0,0
614,70,0,0,0
615,70,0,0,0
616,70,0,0,0
617,70,0,0,0
618,70,0,0,0
619,70,0,0,0
620,70,0,0,0
621,70,0,0,0
622,71,0,1,0
623,73,0,1,0
624,73,0,0,0
625,73,0,0,0
626,73,0,0,0
627,73,0,0,0
628,74,0,1,0
629,74,0,0,0
630,74,0,0,0
631,75,0,1,0
632,75,0,0,0
633,75,0,0,0
634,75,0,0,0
635,75,0,0,0
636,76,0,1,0
637,77,0,1,0
638,77,0,0,0
639,77,0,0,0
640,77,0,0,0
641,78,0,1,0
642,79,0,0,0
643,79,0,0,0
644,80,0,0,0
645,80,0,0,0
646,80,0,0,0
647,80,0,0,0
648,80,0,0,0
649,80,0,0,0
650,80,0,0,0
651,80,0,0,0
652,80,0,0,0
653,80,0,0,0
654,80,0,0,0
655,80,0,0,0
656,81,0,0,0
657,81,0,0,0
658,81,0,0,0
659,82,0,0,0
660,82,0,0,0
661,82,0,0,0
662,82,0,0,0
663,82,0,0,0
664,82,0,0,0
665,82,0,0,0
666,82,0,0,0
667,82,0,0,0
668,82,0,0,0
669,82,0,0,0
670,82,0,0,0
671,82,0,0,0
672,82,0,0,0
673,82,0,0,0
674,82,0,0,0
675,82,0,0,0
676,82,0,0,0
677,82,0,0,0
678,82,0,0,0
679,82,0,0,0
680,82,0,0,0
681,82,0,0,0
682,82,0,0,0
683,82,0,0,0
684,82,0,0,0
685,82,0,0,0
686,82,0,0,0
687,82,0,0,0
688,82,0,0,0
689,82,0,0,0
690,82,0,0,0
691,82,0,0,0
692,82,0,0,0
693,83,0,0,0
694,83,0,0,0
695,83,0,0,0
696,83,0,0,0
697,83,0,0,0
698,83,0,0,0
699,83,0,0,0
700,83,0,0,0
701,83,0,0,0
702,83,0,0,0
703,83,0,0,0
704,83,0,0,0
705,83,0,0,0
706,83,0,0,0
707,83,0,0,0
708,83,0,0,0
709,83,0,0,0
710,83,0,0,0
711,83,0,0,0
712,83,0,0,0
713,83,0,0,0
714,83,0,0,0
715,83,0,0,0
716,83,0,0,0
717,83,0,0,0
718,83,0,0,0
719,83,0,0,0
720,83,0,0,0
721,83,0,0,0
722,83,0,0,0
723,83,0,0,0
724,83,0,0,0
725,83,0,0,0
726,83,0,0,0
727,83,0,0,0
728,83,0,0,0
729,83,0,0,0
730,83,0,0,0
731,83,0,0,0
732,83,0,0,0
733,83,0,0,0
734,83,0,0,0
735,83,0,0,0
736,83,0,0,0
737,83,0,0,0
738,83,0,0,0
739,83,0,0,0
740,83,0,0,0
741,83,0,0,0
742,83,0,0,0
743,83,0,0,0
744,83,0,0,0
745,83,0,0,0
746,83,0,0,0
747,83,0,0,0
748,83,0,0,0
749,83,0,0,0
750,83,0,0,0
751,83,0,0,0
752,83,0,0,0
753,83,0,0,0
754,83,0,0,0
755,83,0,0,0
756,83,0,0,0
757,83,0,0,0
758,83,0,0,0
759,83,0,0,0
760,83,0,0,0
761,83,0,0,0
762,83,0,0,0
763,83,0,0,0
764,83,0,0,0
765,83,0,0,0
766,83,0,0,0
767,83,0,0,0
768,83,0,0,0
769,83,0,0,0
770,83,0,0,0
771,83,0,0,0
772,83,0,0,0
773,83,0,0,0
774,83,0,0,0
775,83,0,0,0
776,83,0,0,0
777,83,0,0,0
778,83,0,0,0
779,83,0,0,0
780,83,0,0,0
781,83,0,0,0
782,83,0,0,0
783,83,0,0,0
784,83,0,0,0
785,83,0,0,0
786,83,0,0,0
787,83,0,0,0
788,83,0,0,0
789,83,0,0,0
790,83,0,0,0
791,83,0,0,0
792,83,0,0,0
793,83,0,0,0
794,83,0,0,0
795,83,0,0,0
796,83,0,0,0
797,83,0,0,0
798,83,0,0,0
799,83,0,0,0
800,83,0,0,0
801,83,0,0,0
802,83,0,0,0
803,83,0,0,0
804,83,0,0,0
805,83,0,0,0
806,83,0,0,0
807,83,0,0,0
808,83,0,0,0
809,83,0,0,0
810,83,0,0,0
811,83,0,0,0
812,83,0,0,0
813,83,0,0,0
814,83,0,0,0
815,83,0,0,0
816,83,0,0,0
817,83,0,0,0
818,83,0,0,0
819,83,0,0,0
820,83,0,0,0
821,83,0,0,0
822,83,0,0,0
823,83,0,0,0
824,83,0,0,0
825,83,0,0,0
826,83,0,0,0
827,83,0,0,0
828,83,0,0,0
829,83,0,0,0
830,83,0,0,0
831,83,0,0,0
832,83,0,0,0
833,83,0,0,0
834,83,0,0,0
835,83,0,0,0
836,83,0,0,0
