frame,total,pedestrians,bicycles,cars,car
609,3,0,0,0,0
610,3,0,0,0,0
611,3,0,0,0,0
612,4,0,1,0,0
613,4,0,0,0,0
614,4,0,0,0,0
615,4,0,0,0,0
616,4,0,0,0,0
617,4,0,0,0,0
618,4,0,0,0,0
619,4,0,0,0,0
620,4,0,0,0,0
621,4,0,0,0,0
622,4,0,0,0,0
623,4,0,0,0,0
624,4,0,0,0,0
625,4,0,0,0,0
626,4,0,0,0,0
627,4,0,0,0,0
628,4,0,0,0,0
629,4,0,0,0,0
630,4,0,0,0,0
631,4,0,0,0,0
632,4,0,0,0,0
633,4,0,0,0,0
634,4,0,0,0,0
635,4,0,0,0,0
636,4,0,0,0,0
637,4,0,0,0,0
638,4,0,0,0,0
639,4,0,0,0,0
640,4,0,0,0,0
641,4,0,0,0,0
642,4,0,0,0,0
643,4,0,0,0,0
644,4,0,0,0,0
645,4,0,0,0,0
646,4,0,0,0,0
647,4,0,0,0,0
648,4,0,0,0,0
649,4,0,0,0,0
650,4,0,0,0,0
651,4,0,0,0,0
652,4,0,0,0,0
653,4,0,0,0,0
654,4,0,0,0,0
655,4,0,0,0,0
656,4,0,0,0,0
657,4,0,0,0,0
658,4,0,0,0,0
659,4,0,0,0,0
660,4,0,0,0,0
661,4,0,0,0,0
662,4,0,0,0,0
663,4,0,0,0,0
664,4,0,0,0,0
665,4,0,0,0,0
666,4,0,0,0,0
667,4,0,0,0,0
668,4,0,0,0,0
669,4,0,0,0,0
670,4,0,0,0,0
671,4,0,0,0,0
672,4,0,0,0,0
673,4,0,0,0,0
674,4,0,0,0,0
675,4,0,0,0,0
676,4,0,0,0,0
677,4,0,0,0,0
678,4,0,0,0,0
679,4,0,0,0,0
680,4,0,0,0,0
681,4,0,0,0,0
682,4,0,0,0,0
683,4,0,0,0,0
684,4,0,0,0,0
685,4,0,0,0,0
686,4,0,0,0,0
687,4,0,0,0,0
688,4,0,0,0,0
689,4,0,0,0,0
690,4,0,0,0,0
691,4,0,0,0,0
692,4,0,0,0,0
693,4,0,0,0,0
694,4,0,0,0,0
695,4,0,0,0,0
696,4,0,0,0,0
697,4,0,0,0,0
698,4,0,0,0,0
699,4,0,0,0,0
700,4,0,0,0,0
701,4,0,0,0,0
702,4,0,0,0,0
703,4,0,0,0,0
704,4,0,0,0,0
705,4,0,0,0,0
706,4,0,0,0,0
707,4,0,0,0,0
708,4,0,0,0,0
709,4,0,0,0,0
710,4,0,0,0,0
711,4,0,0,0,0
712,4,0,0,0,0
713,4,0,0,0,0
714,4,0,0,0,0
715,4,0,0,0,0
716,4,0,0,0,0
717,4,0,0,0,0
718,4,0,0,0,0
719,4,0,0,0,0
720,4,0,0,0,0
721,4,0,0,0,0
722,4,0,0,0,0
723,4,0,0,0,0
724,4,0,0,0,0
725,4,0,0,0,0
726,4,0,0,0,0
727,4,0,0,0,0
728,4,0,0,0,0
729,4,0,0,0,0
730,4,0,0,0,0
731,4,0,0,0,0
732,4,0,0,0,0
733,4,0,0,0,0
734,4,0,0,0,0
735,4,0,0,0,0
736,4,0,0,0,0
737,4,0,0,0,0
738,4,0,0,0,0
739,4,0,0,0,0
740,4,0,0,0,0
741,4,0,0,0,0
742,4,0,0,0,0
743,4,0,0,0,0
744,4,0,0,0,0
745,4,0,0,0,0
746,4,0,0,0,0
747,4,0,0,0,0
748,4,0,0,0,0
749,4,0,0,0,0
750,4,0,0,0,0
751,4,0,0,0,0
752,4,0,0,0,0
753,4,0,0,0,0
754,4,0,0,0,0
755,4,0,0,0,0
756,4,0,0,0,0
757,4,0,0,0,0
758,4,0,0,0,0
759,4,0,0,0,0
760,4,0,0,0,0
761,4,0,0,0,0
762,4,0,0,0,0
763,4,0,0,0,0
764,4,0,0,0,0
765,4,0,0,0,0
766,4,0,0,0,0
767,4,0,0,0,0
768,4,0,0,0,0
769,4,0,0,0,0
770,4,0,0,0,0
771,4,0,0,0,0
772,4,0,0,0,0
773,4,0,0,0,0
774,4,0,0,0,0
775,4,0,0,0,0
776,4,0,0,0,0
777,4,0,0,0,0
778,4,0,0,0,0
779,4,0,0,0,0
780,4,0,0,0,0
781,4,0,0,0,0
782,4,0,0,0,0
783,4,0,0,0,0
784,4,0,0,0,0
785,4,0,0,0,0
786,4,0,0,0,0
787,4,0,0,0,0
788,4,0,0,0,0
789,4,0,0,0,0
790,4,0,0,0,0
791,4,0,0,0,0
792,4,0,0,0,0
793,4,0,0,0,0
794,4,0,0,0,0
795,4,0,0,0,0
796,4,0,0,0,0
797,4,0,0,0,0
798,4,0,0,0,0
799,4,0,0,0,0
800,4,0,0,0,0
801,4,0,0,0,0
802,4,0,0,0,0
803,4,0,0,0,0
804,4,0,0,0,0
805,4,0,0,0,0
806,4,0,0,0,0
807,4,0,0,0,0
808,4,0,0,0,0
809,4,0,0,0,0
810,4,0,0,0,0
811,4,0,0,0,0
812,4,0,0,0,0
813,4,0,0,0,0
814,4,0,0,0,0
815,4,0,0,0,0
816,4,0,0,0,0
817,4,0,0,0,0
818,4,0,0,0,0
819,4,0,0,0,0
820,4,0,0,0,0
821,4,0,0,0,0
822,4,0,0,0,0
823,4,0,0,0,0
824,4,0,0,0,0
825,4,0,0,0,0
826,4,0,0,0,0
827,4,0,0,0,0
828,4,0,0,0,0
829,4,0,0,0,0
830,4,0,0,0,0
831,4,0,0,0,0
832,4,0,0,0,0
833,4,0,0,0,0
834,4,0,0,0,0
835,4,0,0,0,0
836,4,0,0,0,0
